adnetwork_adunits        ,status,master_adunit,size,adformat,bid_type,mediation,imp_type,adnetwork,adtag,
[Ｗeb] icook Native Ad(圖文）,Archived,iCook_Recipe_Step1,320x100,Banner,RTB,GAM,AdServer,Addict2,,
[Ｗeb] icook Rotation,Active,iCook_Recipes_Bottom_Sticky,320x100,Progress,RTB,GAM,AdServer,Addict2,,
[Ｗeb] icook Motion-制式格式,Active,iCook_Recipes_Bottom_Sticky,320x100,Motion,RTB,GAM,AdServer,Addict2,,
a_iCook_Homepage_Bottom_300250,Idle,a_iCook_Homepage_Bottom, 300x250,Text/image,RTB,GAM,AdServer,AdSense,4894001478,
a_iCook_Homepage_Bottom_336280,Idle,a_iCook_Homepage_Bottom, 336x280,Text/image,RTB,GAM,AdServer,AdSense,6236192676,
a_iCook_Homepage_Bottom_72890,Idle,a_iCook_Homepage_Bottom, 728x90,Text/image,RTB,GAM,AdServer,AdSense,7138210805,
a_iCook_Homepage_Bottom_Sticky_320100,Idle,a_iCook_Homepage_Bottom_Sticky, 320x100,Text/image,RTB,GAM,AdServer,AdSense,5988780665,
a_iCook_Homepage_Bottom_Sticky_32050,Idle,a_iCook_Homepage_Bottom_Sticky, 320x50,Text/image,RTB,GAM,AdServer,AdSense,6515039055,
a_iCook_Homepage_Middle_300250,Idle,a_iCook_Homepage_Middle, 300x250,Text/image,RTB,GAM,AdServer,AdSense,5576527750,
a_iCook_Homepage_Middle_336280,Idle,a_iCook_Homepage_Middle, 336x280,Text/image,RTB,GAM,AdServer,AdSense,2091087625,
a_iCook_Homepage_Middle_72890,Idle,a_iCook_Homepage_Middle, 728x90,Text/image,RTB,GAM,AdServer,AdSense,3623661144,
a_iCook_Homepage_Sidebar_Bottom_250250,Idle,a_iCook_Homepage_Sidebar_Bottom, 250x250,Text/image,RTB,GAM,AdServer,AdSense,9029521756,
a_iCook_Homepage_Sidebar_Bottom_300600,Idle,a_iCook_Homepage_Sidebar_Bottom, 300x600,Text/image,RTB,GAM,AdServer,AdSense,7740490817,
a_iCook_Homepage_Sidebar_Bottom2_250250,Idle,a_iCook_Homepage_Sidebar_Bottom2, 250x250,Text/image,RTB,GAM,AdServer,AdSense,7548919122,
a_iCook_Homepage_Sidebar_Middle_250250,Idle,a_iCook_Homepage_Sidebar_Middle, 250x250,Text/image,RTB,GAM,AdServer,AdSense,5932940342,
a_iCook_Homepage_Sidebar_Middle_300250,Idle,a_iCook_Homepage_Sidebar_Middle, 300x250,Text/image,RTB,GAM,AdServer,AdSense,6314894355,
a_iCook_Homepage_Sidebar_Middle_336280,Idle,a_iCook_Homepage_Sidebar_Middle, 336x280,Text/image,RTB,GAM,AdServer,AdSense,9847779404,
a_iCook_Homepage_Sidebar_Top_250250,Idle,a_iCook_Homepage_Sidebar_Top, 250x250,Text/image,RTB,GAM,AdServer,AdSense,6479380031,
a_iCook_Homepage_Sidebar_Top_300250,Idle,a_iCook_Homepage_Sidebar_Top, 300x250,Text/image,RTB,GAM,AdServer,AdSense,7270072741,
a_iCook_Homepage_Sidebar_Top_336280,Idle,a_iCook_Homepage_Sidebar_Top, 336x280,Text/image,RTB,GAM,AdServer,AdSense,2825584797,
a_iCook_Recipe_Bottom_300250,Idle,a_iCook_Recipe_Bottom, 300x250,Text/image,RTB,GAM,AdServer,AdSense,1878145260,
a_iCook_Recipe_Bottom_336280,Idle,a_iCook_Recipe_Bottom, 336x280,Text/image,RTB,GAM,AdServer,AdSense,6998254787,
a_iCook_Recipe_Bottom_Sticky_320100,Idle,a_iCook_Recipe_Bottom_Sticky, 320x100,Text/image,RTB,GAM,AdServer,AdSense,9704309170,
a_iCook_Recipe_Bottom_Sticky_32050,Idle,a_iCook_Recipe_Bottom_Sticky, 320x50,Text/image,RTB,GAM,AdServer,AdSense,8321454059,
a_iCook_Recipe_Bottom1_300250,Idle,a_iCook_Recipe_Bottom1, 300x250,Text/image,RTB,GAM,AdServer,AdSense,2887974608,
a_iCook_Recipe_Bottom1_336280,Idle,a_iCook_Recipe_Bottom1, 336x280,Text/image,RTB,GAM,AdServer,AdSense,9693056102,
a_iCook_Recipe_Bottom3_300250,Idle,a_iCook_Recipe_Bottom3, 300x250,Text/image,RTB,GAM,AdServer,AdSense,3183488077,
a_iCook_Recipe_Bottom3_336280,Idle,a_iCook_Recipe_Bottom3, 336x280,Text/image,RTB,GAM,AdServer,AdSense,8177149671,
a_iCook_Recipe_Bottoms_300250,Idle,a_iCook_Recipe_Bottoms, 300x250,Text/image,RTB,GAM,AdServer,AdSense,8487785649,
a_iCook_Recipe_Bottoms_336280,Idle,a_iCook_Recipe_Bottoms, 336x280,Text/image,RTB,GAM,AdServer,AdSense,2819691848,
a_iCook_Recipe_Bottoms1_300250,Idle,a_iCook_Recipe_Bottoms1, 300x250,Text/image,RTB,GAM,AdServer,AdSense,1051793532,
a_iCook_Recipe_Bottoms1_336280,Idle,a_iCook_Recipe_Bottoms1, 336x280,Text/image,RTB,GAM,AdServer,AdSense,9633346354,
a_iCook_Recipe_Bottoms2_300250,Idle,a_iCook_Recipe_Bottoms2, 300x250,Text/image,RTB,GAM,AdServer,AdSense,4520620472,
a_iCook_Recipe_Bottoms2_336280,Idle,a_iCook_Recipe_Bottoms2, 336x280,Text/image,RTB,GAM,AdServer,AdSense,2925657149,
a_iCook_Recipe_Desktop_Top_72890,Idle,a_iCook_Recipe_Desktop_Top, 728x90,Text/image,RTB,GAM,AdServer,AdSense,6290187088,
a_iCook_Recipe_Desktop_Top_970250,Idle,a_iCook_Recipe_Desktop_Top, 970x250,Text/image,RTB,GAM,AdServer,AdSense,5610340867,
a_iCook_Recipe_Middle_300250,Idle,a_iCook_Recipe_Middle, 300x250,Text/image,RTB,GAM,AdServer,AdSense,8431945320,
a_iCook_Recipe_Middle_336280,Idle,a_iCook_Recipe_Middle, 336x280,Text/image,RTB,GAM,AdServer,AdSense,4077767349,
a_iCook_Recipe_Middle1_300250,Idle,a_iCook_Recipe_Middle1, 300x250,Text/image,RTB,GAM,AdServer,AdSense,6669461033,
a_iCook_Recipe_Middle1_336280,Idle,a_iCook_Recipe_Middle1, 336x280,Text/image,RTB,GAM,AdServer,AdSense,4979785478,
a_iCook_Recipe_Middle2_300250,Idle,a_iCook_Recipe_Middle2, 300x250,Text/image,RTB,GAM,AdServer,AdSense,6585700551,
a_iCook_Recipe_Middle2_336280,Idle,a_iCook_Recipe_Middle2, 336x280,Text/image,RTB,GAM,AdServer,AdSense,8204714616,
a_iCook_Recipe_Sidebar_Bottom_250250,Idle,a_iCook_Recipe_Sidebar_Bottom, 250x250,Text/image,RTB,GAM,AdServer,AdSense,4715706379,
a_iCook_Recipe_Sidebar_Bottom_300600,Idle,a_iCook_Recipe_Sidebar_Bottom, 300x600,Text/image,RTB,GAM,AdServer,AdSense,7515638843,
a_iCook_Recipe_Sidebar_Bottom2_250250,Idle,a_iCook_Recipe_Sidebar_Bottom2, 250x250,Text/image,RTB,GAM,AdServer,AdSense,3099372371,
a_iCook_Recipe_Sidebar_Middle_250250,Idle,a_iCook_Recipe_Sidebar_Middle, 250x250,Text/image,RTB,GAM,AdServer,AdSense,3137410130,
a_iCook_Recipe_Sidebar_Middle_300250,Idle,a_iCook_Recipe_Sidebar_Middle, 300x250,Text/image,RTB,GAM,AdServer,AdSense,1441185086,
a_iCook_Recipe_Sidebar_Middle_336280,Idle,a_iCook_Recipe_Sidebar_Middle, 336x280,Text/image,RTB,GAM,AdServer,AdSense,6261077551,
a_iCook_Recipe_Sidebar_Top_250250,Idle,a_iCook_Recipe_Sidebar_Top, 250x250,Text/image,RTB,GAM,AdServer,AdSense,3223850671,
a_iCook_Recipe_Sidebar_Top_300250,Idle,a_iCook_Recipe_Sidebar_Top, 300x250,Text/image,RTB,GAM,AdServer,AdSense,5686362488,
a_iCook_Recipe_Sidebar_Top_336280,Idle,a_iCook_Recipe_Sidebar_Top, 336x280,Text/image,RTB,GAM,AdServer,AdSense,1030121549,
a_iCook_Recipe_Step1_300250,Idle,a_iCook_Recipe_Step1, 300x250,Text/image,RTB,GAM,AdServer,AdSense,7845621965,
a_iCook_Recipe_Step1_336280,Idle,a_iCook_Recipe_Step1, 336x280,Text/image,RTB,GAM,AdServer,AdSense,5574681842,
a_iCook_Recipe_Step1_1_300250,Idle,a_iCook_Recipe_Step1_1, 300x250,Text/image,RTB,GAM,AdServer,AdSense,5366443069,
a_iCook_Recipe_Step1_1_336280,Idle,a_iCook_Recipe_Step1_1, 336x280,Text/image,RTB,GAM,AdServer,AdSense,5721666285,
a_iCook_Recipe_Step1_2_300250,Idle,a_iCook_Recipe_Step1_2, 300x250,Text/image,RTB,GAM,AdServer,AdSense,1360104662,
a_iCook_Recipe_Step1_2_336280,Idle,a_iCook_Recipe_Step1_2, 336x280,Text/image,RTB,GAM,AdServer,AdSense,1715327886,
a_iCook_Recipe_Top_300250,Idle,a_iCook_Recipe_Top, 300x250,Text/image,RTB,GAM,AdServer,AdSense,6212620870,
a_iCook_Recipe_Top_336280,Idle,a_iCook_Recipe_Top, 336x280,Text/image,RTB,GAM,AdServer,AdSense,7637383189,
a_iCook_Recipe_Top1_300250,Idle,a_iCook_Recipe_Top1, 300x250,Text/image,RTB,GAM,AdServer,AdSense,8827531140,
a_iCook_Recipe_Top1_336280,Idle,a_iCook_Recipe_Top1, 336x280,Text/image,RTB,GAM,AdServer,AdSense,4696714449,
a_iCook_Recipe_Top2_300250,Active,a_iCook_Recipe_Top2, 300x250,Text/image,RTB,GAM,AdServer,AdSense,9565897740,
a_iCook_Recipe_Top2_336280,Active,a_iCook_Recipe_Top2, 336x280,Text/image,RTB,GAM,AdServer,AdSense,2666636847,
a_iCook_Recipes_Bottom_300250,Idle,a_iCook_Recipes_Bottom, 300x250,Text/image,RTB,GAM,AdServer,AdSense,1423328623,
a_iCook_Recipes_Bottom_336280,Idle,a_iCook_Recipes_Bottom, 336x280,Text/image,RTB,GAM,AdServer,AdSense,5717796852,
a_iCook_Recipes_Bottom_Sticky_320100,Idle,a_iCook_Recipes_Bottom_Sticky, 320x100,Text/image,RTB,GAM,AdServer,AdSense,8061491804,
a_iCook_Recipes_Bottom_Sticky_32050,Idle,a_iCook_Recipes_Bottom_Sticky, 320x50,Text/image,RTB,GAM,AdServer,AdSense,4049615670,
a_iCook_Recipes_Bottom1_300250,Idle,a_iCook_Recipes_Bottom1, 300x250,Text/image,RTB,GAM,AdServer,AdSense,2426021743,
a_iCook_Recipes_Bottom1_336280,Idle,a_iCook_Recipes_Bottom1, 336x280,Text/image,RTB,GAM,AdServer,AdSense,7618159748,
a_iCook_Recipes_Bottom2_300250,Idle,a_iCook_Recipes_Bottom2, 300x250,Text/image,RTB,GAM,AdServer,AdSense,6991473789,
a_iCook_Recipes_Bottom2_336280,Idle,a_iCook_Recipes_Bottom2, 336x280,Text/image,RTB,GAM,AdServer,AdSense,9482384685,
a_iCook_Recipes_Middle2_300250,Idle,a_iCook_Recipes_Middle2, 300x250,Text/image,RTB,GAM,AdServer,AdSense,9155081627,
a_iCook_Recipes_Middle2_336280,Idle,a_iCook_Recipes_Middle2, 336x280,Text/image,RTB,GAM,AdServer,AdSense,5706791209,
a_iCook_Recipes_Sidebar_Bottom_250250,Idle,a_iCook_Recipes_Sidebar_Bottom, 250x250,Text/image,RTB,GAM,AdServer,AdSense,2014958201,
a_iCook_Recipes_Sidebar_Bottom_300600,Idle,a_iCook_Recipes_Sidebar_Bottom, 300x600,Text/image,RTB,GAM,AdServer,AdSense,8837062015,
a_iCook_Recipes_Sidebar_Bottom2_250250,Idle,a_iCook_Recipes_Sidebar_Bottom2, 250x250,Text/image,RTB,GAM,AdServer,AdSense,5571059836,
a_iCook_Recipes_Sidebar_Middle_250250,Idle,a_iCook_Recipes_Sidebar_Middle, 250x250,Text/image,RTB,GAM,AdServer,AdSense,3500974851,
a_iCook_Recipes_Sidebar_Middle_300250,Idle,a_iCook_Recipes_Sidebar_Middle, 300x250,Text/image,RTB,GAM,AdServer,AdSense,5650950886,
a_iCook_Recipes_Sidebar_Middle_336280,Idle,a_iCook_Recipes_Sidebar_Middle, 336x280,Text/image,RTB,GAM,AdServer,AdSense,2745107017,
a_iCook_Recipes_Sidebar_Top_250250,Idle,a_iCook_Recipes_Sidebar_Top, 250x250,Text/image,RTB,GAM,AdServer,AdSense,6165477275,
a_iCook_Recipes_Sidebar_Top_300250,Idle,a_iCook_Recipes_Sidebar_Top, 300x250,Text/image,RTB,GAM,AdServer,AdSense,4086108847,
a_iCook_Recipes_Sidebar_Top_336280,Idle,a_iCook_Recipes_Sidebar_Top, 336x280,Text/image,RTB,GAM,AdServer,AdSense,7642210477,
a_iCook_Recipes_Top_300250,Idle,a_iCook_Recipes_Top, 300x250,Text/image,RTB,GAM,AdServer,AdSense,4768635122,
a_iCook_Recipes_Top_336280,Idle,a_iCook_Recipes_Top, 336x280,Text/image,RTB,GAM,AdServer,AdSense,6628511708,
a_iCook_Recipes_Top1_300250,Idle,a_iCook_Recipes_Top1, 300x250,Text/image,RTB,GAM,AdServer,AdSense,5479081560,
a_iCook_Recipes_Top1_336280,Idle,a_iCook_Recipes_Top1, 336x280,Text/image,RTB,GAM,AdServer,AdSense,6141905473,
a_iCook_Recipes_Top2_300250,Idle,a_iCook_Recipes_Top2, 300x250,Text/image,RTB,GAM,AdServer,AdSense,8384925436,
a_iCook_Recipes_Top2_336280,Idle,a_iCook_Recipes_Top2, 336x280,Text/image,RTB,GAM,AdServer,AdSense,5156126863,
AdSense In Content,Idle,Archived, Responsive,Native Inarticle,Direct,Direct,N/A,AdSense,9859831627,
Archive,Idle,Archived, Responsive,Text/image,Direct,Direct,N/A,AdSense,5580363083,
Blog_Bottom_300250,Idle,Archived, 300x250,Text/image,Direct,Direct,N/A,AdSense,4404719454,
Blog_Bottom_336280,Idle,Archived, 336x280,Text/image,Direct,Direct,N/A,AdSense,7960821082,
Blog_Bottom_72890,Idle,Archived, 728x90,Text/image,Direct,Direct,N/A,AdSense,9869208242,
Blog_Bottom1_300250,Idle,Archived, 300x250,Text/image,Direct,Direct,N/A,AdSense,1560850418,
Blog_Bottom1_336280,Idle,Archived, 336x280,Text/image,Direct,Direct,N/A,AdSense,2744394984,
Blog_Bottom2_300250,Idle,Archived, 300x250,Text/image,Direct,Direct,N/A,AdSense,2189921280,
Blog_Bottom2_336280,Idle,Archived, 336x280,Text/image,Direct,Direct,N/A,AdSense,4979736151,
Blog_Header_300250,Idle,Archived, 300x250,Text/image,Direct,Direct,N/A,AdSense,1286104285,
Blog_Header_320100,Idle,Archived, 320x100,Text/image,Direct,Direct,N/A,AdSense,2766497484,
Blog_Header_336280,Idle,Archived, 336x280,Text/image,Direct,Direct,N/A,AdSense,8809371082,
Blog_Header_46860,Idle,Archived, 468x60,Text/image,Direct,Direct,N/A,AdSense,4243230680,
Blog_Header_72890,Active,Archived, 728x90,Text/image,Direct,Direct,N/A,AdSense,5719963884,
Blog_Header_970250,Idle,Archived, 970x250,Text/image,Direct,Direct,N/A,AdSense,7196697081,
Blog_Header_Responsive,Idle,Archived, Responsive,Text/image,Direct,Direct,N/A,AdSense,9113660274,
Blog_Sidebar_Bottom_160600,Idle,Archived, 160x600,Text/image,Direct,Direct,N/A,AdSense,2626896686,
Blog_Sidebar_Bottom_300600,Idle,Archived, 300x600,Text/image,Direct,Direct,N/A,AdSense,7637349087,
Blog_Sidebar_Top_250250,Idle,Archived, 250x250,Text/image,Direct,Direct,N/A,AdSense,7057096280,
Blog_Sidebar_Top_300250,Idle,Archived, 300x250,Text/image,Direct,Direct,N/A,AdSense,8533829482,
Blog_Sidebar_Top_336280,Idle,Archived, 336x280,Text/image,Direct,Direct,N/A,AdSense,6983044284,
Blog_Sidebar_Top_Native,Idle,Archived, Responsive,Native Inarticle,Direct,Direct,N/A,AdSense,2987656738,
In_Feed_Category_Desktop,Idle,Archived, Responsive,Native Infeed,Direct,Direct,N/A,AdSense,5270175616,
In_Feed_Category_Mobile,Idle,Archived, Responsive,Native Infeed,Direct,Direct,N/A,AdSense,4599612845,
In_Feed_Category_Mobile,Idle,Archived, Responsive,Native Infeed,Direct,Direct,N/A,AdSense,4599612845,
In_Feed_Search_Desktop,Idle,Archived, Responsive,Native Infeed,Direct,Direct,N/A,AdSense,1685319670,
In_Feed_Search_Desktop,Idle,Archived, Responsive,Native Infeed,Direct,Direct,N/A,AdSense,1685319670,
In_Feed_Search_Mobile,Idle,Archived, Responsive,Native Infeed,Direct,Direct,N/A,AdSense,9324970691,
In_Feed_Search_Mobile,Idle,Archived, Responsive,Native Infeed,Direct,Direct,N/A,AdSense,9324970691,
TestMatchedContent,Idle,Archived, Responsive,Matched Content,Direct,Direct,N/A,AdSense,1434962955,
TestMatchedContent,Idle,Archived, Responsive,Matched Content,Direct,Direct,N/A,AdSense,1434962955,
TestMatchedContent,Idle,Archived, Responsive,Matched Content,Direct,Direct,N/A,AdSense,1434962955,
推薦,Idle,Archived, Responsive,Matched Content,Direct,Direct,N/A,AdSense,4730727284,
推薦,Idle,Archived, Responsive,Matched Content,Direct,Direct,N/A,AdSense,4730727284,
推薦,Idle,Archived, Responsive,Matched Content,Direct,Direct,N/A,AdSense,4730727284,
Auto/Auto ads in Blog_Blog,Archived,Blog_Auto,Responsive,Auto,RTB,Direct,,AdSense,,
Auto/Global settings_Blog,Archived,Blog_Auto,Responsive,Auto,RTB,Direct,,AdSense,,
Other_Blog,Archived,Blog_Auto,Responsive,Auto,RTB,Direct,,AdSense,,
Blog_Desktop_Idle_Bottom_300250,Idle,Blog_Desktop_Idle_Bottom, 300x250,Text/image,RTB,GAM,AdServer,AdSense,9558059233,
Blog_Desktop_Idle_MatchedContent,Idle,Blog_Desktop_Idle_MatchedContent, Responsive,Matched Content,Direct,Direct,N/A,AdSense,8467231626,
Blog_Desktop_Idle_Top_300250,Idle,Blog_Desktop_Idle_Top, 300x250,Text/image,RTB,GAM,AdServer,AdSense,9031020593,
Blog_Idle_Sidebar_Top_336280,Idle,Blog_Idle_Sidebar_Top, 336x280,Text/image,RTB,GAM,AdServer,AdSense,1620592373,
Blog_Post_Article_Bottom_300250,Idle,Blog_Post_Article_Bottom_MB, 300x250,Text/image,RTB,GAM,AdServer,AdSense,3178004906,
Blog_Post_Article_Bottom_320100,Idle,Blog_Post_Article_Bottom_MB, 320x100,Text/image,RTB,GAM,AdServer,AdSense,1600666525,
Blog_Post_Article_Bottom_336280,Idle,Blog_Post_Article_Bottom_MB, 336x280,Text/image,RTB,GAM,AdServer,AdSense,4895121690,
Blog_Post_Article_Bottom_72890,Idle,Blog_Post_Article_Bottom_PC, 728x90,Text/image,RTB,GAM,AdServer,AdSense,4539898472,
Blog_Post_Article_Middle_300250,Active,Blog_Post_Article_Middle_MB, 300x250,Text/image,RTB,GAM,AdServer,AdSense,5995739936,
Blog_Post_Article_Middle_320100,Active,Blog_Post_Article_Middle_MB, 320x100,Text/image,RTB,GAM,AdServer,AdSense,5392695589,
Blog_Post_Article_Middle_336280,Active,Blog_Post_Article_Middle_MB, 336x280,Text/image,RTB,GAM,AdServer,AdSense,7712856729,
Blog_Post_Article_Middle_72890,Active,Blog_Post_Article_Middle_PC, 728x90,Text/image,RTB,GAM,AdServer,AdSense,9792225157,
Blog_Post_Article_Top_300250,Active,Blog_Post_Article_Top_MB, 300x250,Text/image,RTB,GAM,AdServer,AdSense,1126556631,
Blog_Post_Article_Top_320100,Active,Blog_Post_Article_Top_MB, 320x100,Text/image,RTB,GAM,AdServer,AdSense,9906655665,
Blog_Post_Article_Top_336280,Active,Blog_Post_Article_Top_MB, 336x280,Text/image,RTB,GAM,AdServer,AdSense,1530591756,
Blog_Post_Article_Top_72890,Active,Blog_Post_Article_Top_PC, 728x90,Text/image,RTB,GAM,AdServer,AdSense,8670715178,
Blog_Post_Bottom_300250,Active,Blog_Post_Bottom, 300x250,Text/image,RTB,GAM,AdServer,AdSense,3549792309,
Blog_Post_Bottom_336280,Idle,Blog_Post_Bottom, 336x280,Text/image,RTB,GAM,AdServer,AdSense,2947157077,
Blog_Post_Bottom_Sticky_320100,Active,Blog_Post_Bottom_Sticky, 320x100,Text/image,RTB,GAM,AdServer,AdSense,6329241181,
Blog_Post_Bottom_Sticky_32050,Active,Blog_Post_Bottom_Sticky, 320x50,Text/image,RTB,GAM,AdServer,AdSense,9508251831,
Blog_Post_Bottom1_300250,Active,Blog_Post_Bottom1, 300x250,Text/image,RTB,GAM,AdServer,AdSense,4355198398,
Blog_Post_Bottom1_336280,Active,Blog_Post_Bottom1, 336x280,Text/image,RTB,GAM,AdServer,AdSense,2151830598,
Blog_Post_Bottom2_300250,Active,Blog_Post_Bottom2, 336x280,Text/image,RTB,GAM,AdServer,AdSense,6694830398,
Blog_Post_Bottom2_336280,Active,Blog_Post_Bottom2, 336x280,Text/image,RTB,GAM,AdServer,AdSense,3877095365,
Blog_Post_Desktop_Top_970250,Active,Blog_Post_Desktop_Top, 970x250,Text/image,RTB,GAM,AdServer,AdSense,6674899429,
Blog_Post_Header_300250,Active,Blog_Post_Header, 300x250,Text/image,RTB,GAM,AdServer,AdSense,3819872813,
Blog_Post_Header_336280,Active,Blog_Post_Header, 336x280,Text/image,RTB,GAM,AdServer,AdSense,9714255372,
Blog_Post_Header_72890,Idle,Blog_Post_Header, 728x90,Text/image,RTB,GAM,AdServer,AdSense,9348774935,
Blog_Post_Header_970250,Idle,Blog_Post_Header, 970x250,Text/image,RTB,GAM,AdServer,AdSense,5273798556,
Blog_Post_Header1_300250,Active,Blog_Post_Header1, 300x250,Text/image,RTB,GAM,AdServer,AdSense,1532930259,
Blog_Post_Header1_336280,Active,Blog_Post_Header1, 336x280,Text/image,RTB,GAM,AdServer,AdSense,9028276898,
Blog_Post_Header2_300250,Active,Blog_Post_Header2, 300x250,Text/image,RTB,GAM,AdServer,AdSense,2639393719,
Blog_Post_Header2_336280,Active,Blog_Post_Header2, 336x280,Text/image,RTB,GAM,AdServer,AdSense,1134740354,
Blog_Post_MatchedContent,Active,Blog_Post_MatchedContent, Responsive,Matched Content,Direct,Direct,N/A,AdSense,9176923467,
Blog_Post_Popin_Bottom,Idle,Blog_Post_Popin_Bottom, 336x280,Image,RTB,GAM,AdServer,AdSense,8094128270,
Blog_Post_Popin_Top,Idle,Blog_Post_Popin_Top, 336x280,Image,RTB,GAM,AdServer,AdSense,9619920798,
Blog_Post_Sidebar_Bottom_160600,Idle,Blog_Post_Sidebar_Bottom, 160x600,Text/image,RTB,GAM,AdServer,AdSense,8019381399,
Blog_Post_Sidebar_Bottom_250250,Active,Blog_Post_Sidebar_Bottom, 250x250,Text/image,RTB,GAM,AdServer,AdSense,3335481994,
Blog_Post_Sidebar_Bottom_300600,Active,Blog_Post_Sidebar_Bottom, 300x600,Text/image,RTB,GAM,AdServer,AdSense,6617318742,
Blog_Post_Sidebar_Bottom2_250250,Active,Blog_Post_Sidebar_Bottom2, 250x250,Text/image,RTB,GAM,AdServer,AdSense,4607081506,
Blog_Post_Sidebar_Top_250250,Active,Blog_Post_Sidebar_Top, 250x250,Text/image,RTB,GAM,AdServer,AdSense,1883866817,
Blog_Post_Sidebar_Top_300250,Active,Blog_Post_Sidebar_Top, 300x250,Text/image,RTB,GAM,AdServer,AdSense,5056825068,
Blog_Post_Sidebar_Top_336280,Active,Blog_Post_Sidebar_Top, 336x280,Text/image,RTB,GAM,AdServer,AdSense,7868172302,
Blog_Posts_Bottom_300250,Active,Blog_Posts_Bottom, 300x250,Text/image,RTB,GAM,AdServer,AdSense,3685523674,
Blog_Posts_Bottom_336280,Active,Blog_Posts_Bottom, 336x280,Text/image,RTB,GAM,AdServer,AdSense,6761869889,
Blog_Posts_Bottom_Sticky_320100,Active,Blog_Posts_Bottom_Sticky, 320x100,Text/image,RTB,GAM,AdServer,AdSense,4803033373,
Blog_Posts_Bottom_Sticky_32050,Active,Blog_Posts_Bottom_Sticky, 320x50,Text/image,RTB,GAM,AdServer,AdSense,9644296515,
Blog_Posts_Bottom1_300250,Active,Blog_Posts_Bottom1, 300x250,Text/image,RTB,GAM,AdServer,AdSense,9004889844,
Blog_Posts_Bottom1_336280,Active,Blog_Posts_Bottom1, 336x280,Text/image,RTB,GAM,AdServer,AdSense,1864766421,
Blog_Posts_Bottom2_300250,Active,Blog_Posts_Bottom2, 300x250,Text/image,RTB,GAM,AdServer,AdSense,6637870511,
Blog_Posts_Bottom2_336280,Active,Blog_Posts_Bottom2, 336x280,Text/image,RTB,GAM,AdServer,AdSense,1098479661,
Blog_Posts_Desktop_Top_970250,Active,Blog_Posts_Desktop_Top, 970x250,Text/image,RTB,GAM,AdServer,AdSense,7082093538,
Blog_Posts_Header_300250,Idle,Blog_Posts_Header, 300x250,Text/image,RTB,GAM,AdServer,AdSense,6311548058,
Blog_Posts_Header_336280,Active,Blog_Posts_Header, 336x280,Text/image,RTB,GAM,AdServer,AdSense,3676402588,
Blog_Posts_Header_72890,Idle,Blog_Posts_Header, 728x90,Text/image,RTB,GAM,AdServer,AdSense,1313021170,
Blog_Posts_Header_970250,Idle,Blog_Posts_Header, 970x250,Text/image,RTB,GAM,AdServer,AdSense,9135778672,
Blog_Posts_Header_300250_passback,New,Blog_Posts_Header_passback, 300x250,Text/image,Passback,GAM,AdServer,AdSense,7629815765,
Blog_Posts_Header_336280_passback,New,Blog_Posts_Header_passback, 336x280,Text/image,Passback,GAM,AdServer,AdSense,4963112214,
Blog_Posts_Header1_300250,Active,Blog_Posts_Header1, 300x250,Text/image,RTB,GAM,AdServer,AdSense,7878846754,
Blog_Posts_Header1_336280,Idle,Blog_Posts_Header1, 336x280,Text/image,RTB,GAM,AdServer,AdSense,7949045233,
Blog_Posts_Header2_300250,Idle,Blog_Posts_Header2, 300x250,Text/image,RTB,GAM,AdServer,AdSense,4732324140,
Blog_Posts_Header2_336280,Idle,Blog_Posts_Header2, 336x280,Text/image,RTB,GAM,AdServer,AdSense,6592200726,
Blog_Posts_Sidebar_Bottom_160600,Idle,Blog_Posts_Sidebar_Bottom, 160x600,Text/image,RTB,GAM,AdServer,AdSense,8489745568,
Blog_Posts_Sidebar_Bottom_250250,Active,Blog_Posts_Sidebar_Bottom, 250x250,Text/image,RTB,GAM,AdServer,AdSense,4280898003,
Blog_Posts_Sidebar_Bottom_300600,Active,Blog_Posts_Sidebar_Bottom, 300x600,Text/image,RTB,GAM,AdServer,AdSense,6509507539,
Blog_Posts_Sidebar_Bottom2_250250,Active,Blog_Posts_Sidebar_Bottom2, 250x250,Text/image,RTB,GAM,AdServer,AdSense,6794261149,
Blog_Posts_Sidebar_Top_250250,Active,Blog_Posts_Sidebar_Top, 250x250,Text/image,RTB,GAM,AdServer,AdSense,2236162558,
Blog_Posts_Sidebar_Top_300250,Active,Blog_Posts_Sidebar_Top, 300x250,Text/image,RTB,GAM,AdServer,AdSense,9851337816,
Blog_Posts_Sidebar_Top_336280,Active,Blog_Posts_Sidebar_Top, 336x280,Text/image,RTB,GAM,AdServer,AdSense,5792264189,
Blog_Posts_Sidebar_Top_300250_passback,New,Blog_Posts_Sidebar_Top_passback, 300x250,Text/image,Passback,GAM,AdServer,AdSense,1004697664,
Blog_Posts_Sidebar_Top_336280_passback,New,Blog_Posts_Sidebar_Top_passback, 336x280,Text/image,Passback,GAM,AdServer,AdSense,3407499721,
Blog_Recipe_MatchedContent,Idle,Blog_Recipe_MatchedContent, Responsive,Matched Content,Direct,Direct,N/A,AdSense,8032117355,
Auto/AMP_iCook,Archived,iCook_AMP_Auto,Responsive,Auto,RTB,Direct,,AdSense,,
Auto/Auto ads in Blog_iCook,Archived,iCook_Auto,Responsive,Auto,RTB,Direct,,AdSense,,
Auto/Global settings_iCook,Archived,iCook_Auto,Responsive,Auto,RTB,Direct,,AdSense,,
